ID;Iconography ;Motif represented;Technique ;Narrow juxtaposition;With overlap;Number of overlaps;Type of overlap;Phases involved;Cultural attribution;Decorative phase
PM.I.1;Hand;Negative hand;Paint;;Yes;1;Overlapping without consideration;1;Aurignacian-Gravettian ;1
PM.I.2;Hand;Negative hand;Paint;;Yes;1;Overlapping without consideration;1;Aurignacian-Gravettian ;1
PM.I.3;Hand;Negative hand;Paint;;Yes;1;Overlapping without consideration;1;Aurignacian-Gravettian ;1
PM.I.4;Hand;Negative hand;Paint;;Yes;1;Overlapping without consideration;1;Aurignacian-Gravettian ;1
PM.I.5;Hand;Negative hand;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.6;Hand;Negative hand;Paint;;Yes;1;Overlapping without consideration;1;Aurignacian-Gravettian ;1
PM.I.7;Line;Bundle of lines;Engraved;;Yes;2;Overlapping without consideration;1&4/3&4;Lower Magdalenian ;4
PM.I.8;Hand;Negative hand;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.9;Hand;Negative hand;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.10;Hand;Negative hand;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.11;Hand;Negative hand;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.12;Hand;Negative hand;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.13;Line;Angular line;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.14;Zoomorph;Possible aurochs;Paint;;Yes;3;Overlapping without consideration;2&3/3&4;Gravetto-solutrean ;3
PM.I.15;Line;Straight;Engraved;;Yes;1;Overlapping without consideration;3&4;Lower Magdalenian ;4
PM.I.16;Hand;Negative hand;Paint;;Yes;1;Overlapping without consideration;1&2;Aurignacian-Gravettian ;1
PM.I.17;Hand;Negative hand;Paint;;Yes;1;Overlapping without consideration;1&2;Aurignacian-Gravettian ;1
PM.I.18;Zoomorph;Bison;Paint;;Yes;1;Overlapping without consideration;1&2&4;Gravetian ;2
PM.I.19;Zoomorph;Possible bison;Paint;;Yes;1;Overlapping without consideration;2;Gravetian ;2
PM.I.20;Zoomorph;Hind;Engraved;;Yes;2;Overlapping without consideration;1&4/4;Lower Magdalenian ;4
PM.I.21;Zoomorph;Hind;Engraved;;Yes;2;Overlapping without consideration;1&4/4;Lower Magdalenian ;4
PM.I.22;Zoomorph;Hind;Engraved;;Yes;2;Overlapping without consideration;1&4/4;Lower Magdalenian ;4
PM.I.23;Zoomorph;Indeterminate;Engraved;Yes;;;;;Lower Magdalenian ;4
PM.I.24;Hand;Negative hand;Paint;;Yes;2;Overlapping without consideration;1&2;Aurignacian-Gravettian ;1
PM.I.25;Zoomorph;Hind;Engraved;;Yes;1;Overlapping without consideration;1&4;Lower Magdalenian ;4
PM.I.26;Hand;Negative hand;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.27;Hand;Negative hand;Paint;;Yes;1;Overlapping without consideration;1&2;Aurignacian-Gravettian ;1
PM.I.28;Hand;Negative hand;Paint;;Yes;1;Overlapping without consideration;1&2;Aurignacian-Gravettian ;1
PM.I.29;Zoomorph;Bison;Paint;;Yes;2;Overlapping without consideration;1&2/2;Gravetian ;2
PM.I.30;Line;Curved;Engraved;;Yes;1;Overlapping without consideration;1&2&4;Lower Magdalenian ;4
PM.I.31;Line;Straight;Engraved;;Yes;1;Overlapping without consideration;1&4;Lower Magdalenian ;4
PM.I.32;Line;Straight;Paint;Yes;;;;;Gravetian ;2
PM.I.33;Zoomorph;Bison;Paint;;Yes;1;Overlapping without consideration;2;Gravetian ;2
PM.I.34;Zoomorph;Bison;Paint;;Yes;2;Overlapping without consideration;1&2/2;Gravetian ;2
PM.I.35;Zoomorph;Horse;Paint;;Yes;2;Overlapping without consideration;1&2/2;Gravetian ;2
PM.I.36;Line;Straight;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.37;Line;Straight;Paint;Yes;;;;;Gravetto-solutrean ;3
PM.I.38;Hand;Negative hand;Paint;;Yes;2;Overlapping without consideration;1/1&2;Aurignacian-Gravettian ;1
PM.I.39;Hand;Negative hand;Paint;;Yes;2;Overlapping without consideration;1/1&2;Aurignacian-Gravettian ;1
PM.I.40;Hand;Negative hand;Paint;;Yes;2;Overlapping without consideration;1/1&2;Aurignacian-Gravettian ;1
PM.I.41;Hand;Negative hand;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.42;Hand;Negative hand;Paint;;Yes;2;Overlapping without consideration;1/1&2;Aurignacian-Gravettian ;1
PM.I.43;Hand;Negative hand;Paint;;Yes;2;Overlapping without consideration;1/1&2;Aurignacian-Gravettian ;1
PM.I.44;Hand;Negative hand;Paint;;Yes;2;Overlapping without consideration;1/1&2;Aurignacian-Gravettian ;1
PM.I.45;Zoomorph;Possible aurochs;Paint;;Yes;1;Overlapping without consideration;1&2/2;Gravetian ;2
PM.I.46;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
PM.I.47;Non figurative;Disc;Paint;Yes;;;;;Aurignacian-Gravettian ;1
